datetime,Montreal
2017-01-01 0:00,-10.74
2017-01-01 1:00,-10.39
2017-01-01 2:00,-10.39
2017-01-01 3:00,-10.39
2017-01-01 4:00,-10.02
2017-01-01 5:00,-9.77
2017-01-01 6:00,-8.82
2017-01-01 7:00,-7.76
2017-01-01 8:00,-7.33
2017-01-01 9:00,-7.08
2017-01-01 10:00,-6.7
2017-01-01 11:00,-6.75
2017-01-01 12:00,-3.72
2017-01-01 13:00,-3.83
2017-01-01 14:00,-2.73
2017-01-01 15:00,-3.1
2017-01-01 16:00,-3.1
2017-01-01 17:00,-3.37
2017-01-01 18:00,-3.36
2017-01-01 19:00,-3.37
2017-01-01 20:00,-3.35
2017-01-01 21:00,-3.35
2017-01-01 22:00,-4.35
2017-01-01 23:00,-4.7
2017-01-02 0:00,-6.33
2017-01-02 1:00,-6.35
2017-01-02 2:00,-6.03
2017-01-02 3:00,-5.05
2017-01-02 4:00,-5.38
2017-01-02 5:00,-6.38
2017-01-02 6:00,-7.73
2017-01-02 7:00,-8.08
2017-01-02 8:00,-8.75
2017-01-02 9:00,-10.7
2017-01-02 10:00,-10.4
2017-01-02 11:00,-10.4
2017-01-02 12:00,-9.75
2017-01-02 13:00,-9.08
2017-01-02 14:00,-9.08
2017-01-02 15:00,-7.08
2017-01-02 16:00,-4.38
2017-01-02 17:00,-3.73
2017-01-02 18:00,-1.75
2017-01-02 19:00,-1.08
2017-01-02 20:00,-1.05
2017-01-02 21:00,-1.68
2017-01-02 22:00,-2.35
2017-01-02 23:00,-4.03
2017-01-03 0:00,-4.7
2017-01-03 1:00,-4.7
2017-01-03 2:00,-5.03
2017-01-03 3:00,-6.03
2017-01-03 4:00,-6.68
2017-01-03 5:00,-6.68
2017-01-03 6:00,-7
2017-01-03 7:00,-6
2017-01-03 8:00,-5.33
2017-01-03 9:00,-5.33
2017-01-03 10:00,-5
2017-01-03 11:00,-5
2017-01-03 12:00,-4.65
2017-01-03 13:00,-4.7
2017-01-03 14:00,-4.36
2017-01-03 15:00,-3.7
2017-01-03 16:00,-3.35
2017-01-03 17:00,-2.26
2017-01-03 18:00,-1.82
2017-01-03 19:00,-1.65
2017-01-03 20:00,-1.47
2017-01-03 21:00,-1.47
2017-01-03 22:00,-1.46
2017-01-03 23:00,-0.74
2017-01-04 0:00,-0.72
2017-01-04 1:00,-0.47
2017-01-04 2:00,-0.09
2017-01-04 3:00,-0.02
2017-01-04 4:00,-0.07
2017-01-04 5:00,-0.36
2017-01-04 6:00,-0.75
2017-01-04 7:00,-0.73
2017-01-04 8:00,-0.72
2017-01-04 9:00,-1.45
2017-01-04 10:00,-1.38
2017-01-04 11:00,-2.45
2017-01-04 12:00,-2.4
2017-01-04 13:00,-3.09
2017-01-04 14:00,-3.34
2017-01-04 15:00,-3.38
2017-01-04 16:00,-3.37
2017-01-04 17:00,-2.78
2017-01-04 18:00,-1.48
2017-01-04 19:00,-1.06
2017-01-04 20:00,0.61
2017-01-04 21:00,0.81
2017-01-04 22:00,0.86
2017-01-04 23:00,-0.04
2017-01-05 0:00,-0.69
2017-01-05 1:00,-2.34
2017-01-05 2:00,-2.71
2017-01-05 3:00,-4.04
2017-01-05 4:00,-4.09
2017-01-05 5:00,-5.06
2017-01-05 6:00,-5.06
2017-01-05 7:00,-5.7
2017-01-05 8:00,-6.66
2017-01-05 9:00,-6.73
2017-01-05 10:00,-7.08
2017-01-05 11:00,-6.76
2017-01-05 12:00,-8.4
2017-01-05 13:00,-10.09
2017-01-05 14:00,-10.74
2017-01-05 15:00,-10.7
2017-01-05 16:00,-10.37
2017-01-05 17:00,-9.43
2017-01-05 18:00,-9.05
2017-01-05 19:00,-8.08
2017-01-05 20:00,-7.37
2017-01-05 21:00,-7.05
2017-01-05 22:00,-7.7
2017-01-05 23:00,-7.7
2017-01-06 0:00,-8.38
2017-01-06 1:00,-7.38
2017-01-06 2:00,-7.06
2017-01-06 3:00,-6.72
2017-01-06 4:00,-8.07
2017-01-06 5:00,-8.02
2017-01-06 6:00,-8.37
2017-01-06 7:00,-9.37
2017-01-06 8:00,-9.42
2017-01-06 9:00,-9.45
2017-01-06 10:00,-10.42
2017-01-06 11:00,-10.72
2017-01-06 12:00,-11.07
2017-01-06 13:00,-12.4
2017-01-06 14:00,-13.42
2017-01-06 15:00,-12.07
2017-01-06 16:00,-11.38
2017-01-06 17:00,-10.37
2017-01-06 18:00,-9.05
2017-01-06 19:00,-8.7
2017-01-06 20:00,-8.37
2017-01-06 21:00,-8.37
2017-01-06 22:00,-9.02
2017-01-06 23:00,-10.37
2017-01-07 0:00,-10.7
2017-01-07 1:00,-13.05
2017-01-07 2:00,-13.42
2017-01-07 3:00,-14.66
2017-01-07 4:00,-16.4
2017-01-07 5:00,-15.72
2017-01-07 6:00,-17.09
2017-01-07 7:00,-17.76
2017-01-07 8:00,-17.72
2017-01-07 9:00,-17.78
2017-01-07 10:00,-17.45
2017-01-07 11:00,-18.81
2017-01-07 12:00,-20.53
2017-01-07 13:00,-20.54
2017-01-07 14:00,-20.71
2017-01-07 15:00,-19.42
2017-01-07 16:00,-16.38
2017-01-07 17:00,-13.75
2017-01-07 18:00,-12.4
2017-01-07 19:00,-11.67
2017-01-07 20:00,-11.35
2017-01-07 21:00,-11.03
2017-01-07 22:00,-13
2017-01-07 23:00,-14.7
2017-01-08 0:00,-14.7
2017-01-08 1:00,-15.05
2017-01-08 2:00,-16.73
2017-01-08 3:00,-16.35
2017-01-08 4:00,-18.33
2017-01-08 5:00,-19.7
2017-01-08 6:00,-19.02
2017-01-08 7:00,-20.46
2017-01-08 8:00,-20.24
2017-01-08 9:00,-21.32
2017-01-08 10:00,-22.5
2017-01-08 11:00,-21.86
2017-01-08 12:00,-20.98
2017-01-08 13:00,-21.01
2017-01-08 14:00,-20.38
2017-01-08 15:00,-20.38
2017-01-08 16:00,-18
2017-01-08 17:00,-16
2017-01-08 18:00,-13.65
2017-01-08 19:00,-12.33
2017-01-08 20:00,-11.33
2017-01-08 21:00,-11.37
2017-01-08 22:00,-11.75
2017-01-08 23:00,-12.74
2017-01-09 0:00,-14.1
2017-01-09 1:00,-15.72
2017-01-09 2:00,-16.37
2017-01-09 3:00,-16.72
2017-01-09 4:00,-17.37
2017-01-09 5:00,-17.72
2017-01-09 6:00,-18.37
2017-01-09 7:00,-19.37
2017-01-09 8:00,-20.05
2017-01-09 9:00,-20.72
2017-01-09 10:00,-20.4
2017-01-09 11:00,-21.4
2017-01-09 12:00,-22.12
2017-01-09 13:00,-22.1
2017-01-09 14:00,-21.48
2017-01-09 15:00,-19.8
2017-01-09 16:00,-17.32
2017-01-09 17:00,-16.45
2017-01-09 18:00,-15.1
2017-01-09 19:00,-13.78
2017-01-09 20:00,-11.73
2017-01-09 21:00,-11.62
2017-01-09 22:00,-11.2
2017-01-09 23:00,-11.19
2017-01-10 0:00,-11.23
2017-01-10 1:00,-10.27
2017-01-10 2:00,-10.53
2017-01-10 3:00,-10.54
2017-01-10 4:00,-10.1
2017-01-10 5:00,-9.45
2017-01-10 6:00,-9.59
2017-01-10 7:00,-9.45
2017-01-10 8:00,-9.1
2017-01-10 9:00,-9.33
2017-01-10 10:00,-9.1
2017-01-10 11:00,-9
2017-01-10 12:00,-9.42
2017-01-10 13:00,-9.4
2017-01-10 14:00,-9.08
2017-01-10 15:00,-8.4
2017-01-10 16:00,-7.4
2017-01-10 17:00,-7.08
2017-01-10 18:00,-5.73
2017-01-10 19:00,-4.73
2017-01-10 20:00,-4.4
2017-01-10 21:00,-4.14
2017-01-10 22:00,-3.68
2017-01-10 23:00,-4.46
2017-01-11 0:00,-3.42
2017-01-11 1:00,-2.14
2017-01-11 2:00,-1.47
2017-01-11 3:00,-1.07
2017-01-11 4:00,-0.41
2017-01-11 5:00,0.69
2017-01-11 6:00,1.34
2017-01-11 7:00,1.3
2017-01-11 8:00,1.65
2017-01-11 9:00,1.63
2017-01-11 10:00,1.65
2017-01-11 11:00,4.01
2017-01-11 12:00,4.35
2017-01-11 13:00,4
2017-01-11 14:00,4
2017-01-11 15:00,4
2017-01-11 16:00,4
2017-01-11 17:00,4
2017-01-11 18:00,4
2017-01-11 19:00,4
2017-01-11 20:00,4.33
2017-01-11 21:00,4
2017-01-11 22:00,3.65
2017-01-11 23:00,2.69
2017-01-12 0:00,2.36
2017-01-12 1:00,3.2
2017-01-12 2:00,3.28
2017-01-12 3:00,3.25
2017-01-12 4:00,3.25
2017-01-12 5:00,3.25
2017-01-12 6:00,3.58
2017-01-12 7:00,3.23
2017-01-12 8:00,3.11
